Kategorie,Alternativer Kategoriename,Name,Alternativer name,Beschreibung,Art der Herausforderung 1,Herausforderungsopt. 2,Herausforderungsopt. 3,Kriterium 1,Kriterium 2,Kriterium 3,Material 1,Material 2,Minuten,Wiederholungen,Bewertung,Ergebnistyp,Token-Belohnungssystem
Do it for yourself,,"Ich hab' ein Haus, ein kunterbuntes Haus,...",,"Erinnere dich an dein liebstes Kinderlied, mache es an und tanze und singe ausgelassen dazu!",Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Musik,,,,,,
Do it for yourself,,Wandertag,,Mache einen Spaziergang durch deine Wohnung und genieße ihn!,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,,,,,,,
Do it for yourself,,Bücherwurm,,Lies mal wieder ein Buch!,Selbstherausforderung,,,geschafft_ja_nein,,,Buch,,,,,,
Do it for yourself,,Be Van Gogh!,,Male ein Bild,Selbstherausforderung,Fremdherausforderung,Gemeinsamstark,geschafft_ja_nein,Qualität,,Papier,"Stifte, Farben",,,,,
Do it for yourself,,I want it that way,,Mach dir ein Lieblingslied von früher an und tanze hemmungslos dazu!,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Musik,,,,,,
Do it for yourself,,Zukunftspläne,,"Überleg dir 5 Dinge, die du machen möchtest, wenn der Alltag wieder zurückkehrt! ",Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Papier,Stift,,,,,
Do it for yourself,,Alltagsschätze,,"Setze dich mit Papier und Stiften hin und male oder schreibe auf, was in deinem Leben für dich schön und wertvoll ist.",Selbstherausforderung,,,geschafft_ja_nein,,,Papier ,Stift,,,,,
Do it for yourself,,Perspektivwechsel,,Versuche deine aktuelle Situation aus einem anderen Blickwinkel zu sehen und suche positive Aspekte.,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,,,,,,,
Soziale Kontakte,,Danke sagen,,Bedanke dich bei jemandem,Selbstherausforderung,,,geschafft_ja_nein,,,,,,,,,
Do it for yourself,,Offline,,"Sei heute eine Stunde bewusst analog: löse ein Sudoku, ein Kreuzworträtsel oder spiele ein Gesellschaftsspiel!",Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Sudoku,Gesellschaftsspiel,,,,,
